player,liam_xwOBA,pas,xwRAA
Aaron Judge,0.481,682,87.6
Juan Soto,0.476,709,88.2
Shohei Ohtani,0.447,707,71.36
Yordan Alvarez,0.423,617,50.3
Kyle Tucker,0.422,333,26.88
Vladimir Guerrero Jr.,0.42,683,54.02
Marcell Ozuna,0.412,684,49.67
Bobby Witt Jr.,0.41,700,49.7
Fernando Tatis Jr.,0.406,427,28.94
Ketel Marte,0.401,575,36.64
Corey Seager,0.396,520,31.03
Brent Rooker,0.389,608,32.84
Kyle Schwarber,0.389,688,37.16
Joc Pederson,0.386,439,22.65
Francisco Lindor,0.386,688,35.49
Gunnar Henderson,0.383,715,35.15
Freddie Freeman,0.38,618,28.88
Jackson Merrill,0.375,584,24.93
William Contreras,0.375,674,28.77
Jurickson Profar,0.375,657,28.04
Salvador Perez,0.372,639,25.72
Carlos Correa,0.37,362,13.99
Bryce Harper,0.369,618,23.38
Austin Riley,0.367,467,16.91
LaMonte Wade Jr.,0.367,396,14.34
Willson Contreras,0.367,356,12.89
Michael Toglia,0.366,455,16.11
Rafael Devers,0.366,585,20.71
Mookie Betts,0.364,503,16.99
Michael Conforto,0.363,485,15.99
Byron Buxton,0.362,387,12.45
Bryan Reynolds,0.362,687,22.1
Spencer Horwitz,0.361,379,11.88
Lars Nootbaar,0.361,403,12.64
Alec Bohm,0.36,602,18.39
Riley Greene,0.36,579,17.69
Christian Walker,0.359,547,16.27
Jordan Westburg,0.358,447,12.93
Jonathan India,0.358,636,18.4
Jorge Soler,0.357,571,16.06
Brandon Lowe,0.356,423,11.55
Giancarlo Stanton,0.356,454,12.4
Trevor Larnach,0.355,398,10.55
Cal Raleigh,0.355,623,16.51
Matt Olson,0.355,676,17.92
Lawrence Butler,0.354,449,11.54
Ian Happ,0.353,655,16.3
Teoscar Hernandez,0.352,637,15.34
Mark Vientos,0.351,453,10.54
Vinnie Pasquantino,0.351,553,12.87
Jesus Sanchez,0.35,533,11.97
Seiya Suzuki,0.35,581,13.05
Taylor Ward,0.35,662,14.87
Pete Alonso,0.35,689,15.47
Willy Adames,0.349,685,14.83
Manny Machado,0.348,625,13.02
Oneil Cruz,0.348,590,12.3
Michael Harris II,0.348,469,9.77
Yandy Diaz,0.347,618,12.38
Austin Wells,0.347,413,8.27
Matt Chapman,0.345,639,11.77
Alec Burleson,0.345,591,10.88
Jake Burger,0.345,576,10.61
Yainer Diaz,0.345,616,11.34
Carlos Santana,0.345,590,10.86
Starling Marte,0.345,369,6.79
Alejandro Kirk,0.344,384,6.76
Heliot Ramos,0.343,513,8.62
Jesse Winker,0.343,506,8.5
Nathaniel Lowe,0.343,562,9.44
Justin Turner,0.342,537,8.58
Steven Kwan,0.342,540,8.63
Josh Naylor,0.34,624,8.97
Ryan Mountcastle,0.339,506,6.86
Brandon Nimmo,0.339,660,8.95
J.T. Realmuto,0.339,411,5.57
Colton Cowser,0.338,559,7.13
Brendan Donovan,0.338,651,8.3
Eugenio Suarez,0.338,639,8.15
Nick Castellanos,0.338,655,8.35
David Fry,0.337,386,4.61
Jarren Duran,0.337,733,8.75
Ryan McMahon,0.337,635,7.58
Anthony Santander,0.337,661,7.89
Jake Cronenworth,0.337,640,7.64
Paul Goldschmidt,0.336,646,7.19
Masataka Yoshida,0.336,421,4.69
Jose Ramirez,0.336,669,7.45
Shea Langeliers,0.335,532,5.49
Wyatt Langford,0.333,551,4.8
Elly De La Cruz,0.333,692,6.02
Luis Arraez,0.333,669,5.82
Wilyer Abreu,0.332,444,3.51
Alex Bregman,0.332,632,4.99
Brenton Doyle,0.332,601,4.74
Luke Raley,0.331,453,3.21
Andrew McCutchen,0.331,513,3.64
Nick Gonzales,0.33,384,2.41
Patrick Bailey,0.33,446,2.8
Andrew Vaughn,0.33,618,3.88
Lourdes Gurriel Jr.,0.329,552,3.02
Mike Tauchman,0.329,349,1.91
MJ Melendez,0.329,448,2.45
Tommy Pham,0.329,477,2.61
Gabriel Moreno,0.328,349,1.63
Willi Castro,0.328,633,2.95
Dansby Swanson,0.328,590,2.75
JJ Bleday,0.328,640,2.98
George Springer,0.328,610,2.84
Jackson Chourio,0.328,568,2.65
Michael Busch,0.327,565,2.18
Will Smith,0.327,525,2.02
Brandon Marsh,0.327,476,1.83
Jose Altuve,0.327,679,2.61
Tyler Stephenson,0.327,512,1.97
Josh Bell,0.327,594,2.29
Christopher Morel,0.326,607,1.85
Andy Pages,0.326,439,1.33
Zach Neto,0.325,599,1.34
Nolan Schanuel,0.325,604,1.35
CJ Abrams,0.324,597,0.85
Gavin Lux,0.324,475,0.68
Randy Arozarena,0.324,647,0.92
Gavin Sheets,0.324,497,0.71
Corbin Carroll,0.324,682,0.97
Michael Massey,0.324,355,0.5
Adley Rutschman,0.323,635,0.39
Colt Keith,0.323,554,0.34
Miguel Amaya,0.321,361,-0.36
Trea Turner,0.321,538,-0.54
Gleyber Torres,0.32,663,-1.2
Spencer Steer,0.32,653,-1.18
Lenyn Sosa,0.32,367,-0.67
Otto Lopez,0.319,433,-1.14
Jose Miranda,0.319,428,-1.12
Jon Singleton,0.319,403,-1.06
Jo Adell,0.319,446,-1.17
Ha-Seong Kim,0.319,453,-1.19
Jazz Chisholm Jr.,0.319,614,-1.61
J.P. Crawford,0.318,449,-1.54
Isaac Paredes,0.318,639,-2.19
Nolan Gorman,0.317,399,-1.69
Ryan Jeffers,0.317,465,-1.97
Will Brennan,0.316,351,-1.77
Ty France,0.316,535,-2.7
Jorge Polanco,0.316,465,-2.35
Jake McCarthy,0.316,493,-2.49
Tyrone Taylor,0.315,344,-2.02
Marcus Semien,0.315,713,-4.18
Bryan De La Cruz,0.314,619,-4.13
Nico Hoerner,0.314,639,-4.26
Mike Yastrzemski,0.314,471,-3.14
Alex Verdugo,0.314,618,-4.12
Matt Vierling,0.313,563,-4.21
Adolis Garcia,0.313,634,-4.74
Rowdy Tellez,0.313,420,-3.14
Rhys Hoskins,0.312,514,-4.26
Joey Ortiz,0.312,509,-4.22
Jarred Kelenic,0.311,448,-4.07
Ozzie Albies,0.311,434,-3.95
Jeremy Pena,0.311,645,-5.87
Gio Urshela,0.311,457,-4.16
Xander Bogaerts,0.311,452,-4.11
Maikel Garcia,0.31,626,-6.2
Jake Meyers,0.31,511,-5.06
Lane Thomas,0.31,527,-5.22
Nolan Arenado,0.309,630,-6.75
Brice Turang,0.308,615,-7.09
Josh Rojas,0.308,471,-5.43
Geraldo Perdomo,0.308,388,-4.47
Andrew Benintendi,0.308,520,-5.99
Jake Bauers,0.308,345,-3.98
Tyler Freeman,0.308,382,-4.4
Leody Taveras,0.307,525,-6.47
Cody Bellinger,0.307,562,-6.93
Max Kepler,0.306,396,-5.2
Brendan Rodgers,0.306,536,-7.04
Seth Brown,0.305,399,-5.57
Bryson Stott,0.304,568,-8.38
Harrison Bader,0.304,435,-6.42
Max Schuemann,0.303,459,-7.15
Dylan Moore,0.302,439,-7.19
Hunter Renfroe,0.301,424,-7.29
Elias Diaz,0.3,347,-6.24
Jacob Young,0.3,517,-9.3
Francisco Alvarez,0.3,340,-6.12
TJ Friedl,0.3,340,-6.12
Davis Schneider,0.3,454,-8.17
Kyle Isbel,0.299,425,-7.99
Tyler Fitzgerald,0.299,339,-6.37
Andres Gimenez,0.299,632,-11.88
Jeff McNeil,0.299,470,-8.84
Abraham Toro,0.298,363,-7.12
Jared Triolo,0.298,445,-8.73
Jose Siri,0.297,445,-9.09
Mark Canha,0.297,460,-9.39
Wenceel Perez,0.297,421,-8.6
Cedric Mullins,0.296,494,-10.49
Masyn Winn,0.296,634,-13.46
Mitch Garver,0.296,429,-9.11
Paul DeJong,0.295,482,-10.62
Jeimer Candelario,0.295,461,-10.16
Freddy Fermin,0.295,366,-8.07
Josh Lowe,0.294,383,-8.75
Mickey Moniak,0.293,417,-9.87
Santiago Espinal,0.293,390,-9.23
Ernie Clement,0.292,450,-11.01
Connor Wong,0.292,484,-11.84
Mauricio Dubon,0.291,426,-10.77
Jonah Heim,0.291,490,-12.39
Brayan Rocchio,0.291,440,-11.12
Pete Crow-Armstrong,0.29,408,-10.64
Isiah Kiner-Falefa,0.29,494,-12.89
Luis Robert Jr.,0.29,421,-10.98
Spencer Torkelson,0.289,379,-10.19
Ezequiel Tovar,0.289,691,-18.58
Jake Fraley,0.289,380,-10.22
Sal Frelick,0.289,519,-13.96
Keibert Ruiz,0.288,484,-13.41
Enrique Hernandez,0.288,390,-10.8
Ceddanne Rafaela,0.283,570,-18.1
Jose Caballero,0.281,480,-16.02
Connor Joe,0.281,414,-13.81
Anthony Volpe,0.28,684,-23.38
Jonny DeLuca,0.279,361,-12.63
Zack Gelof,0.279,546,-19.1
Brandon Drury,0.278,359,-12.85
Amed Rosario,0.278,346,-12.38
Nicky Lopez,0.276,444,-16.61
Orlando Arcia,0.275,599,-22.89
Thairo Estrada,0.273,380,-15.14
Blake Perkins,0.273,433,-17.25
Will Benson,0.271,388,-16.09
Korey Lee,0.269,392,-16.89
Bo Naylor,0.269,387,-16.67
Daulton Varsho,0.267,512,-22.88
Johan Rojas,0.256,363,-19.45
